課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
2-2,3.        ,團體,tuántǐ ,N,group,nhóm,กลุ่ม,အဖွဲ့,グループ,그룹,grupo,kelompok,4
2-2,4.        ,千萬,qiānwàn ,Adv,by all means,bằng mọi giá,โดยทั้งหมด,နည်းလမ်းပေါင်းစုံဖြင့်,ぜひ,꼭,sin falta,dengan segala cara,4
2-2,5.        ,鋼琴,gāngqín ,N,piano,dương cầm,เปียโน,စန္ဒယား,ピアノ,피아노,piano,piano,4
2-2,6.        ,小提琴,xiǎotíqín ,N,violin,vĩ cầm,ไวโอลิน,တယော,バイオリン,바이올린,violín,biola,4
2-2,7.        ,古典,gǔdiǎn ,Vs,classical,cổ điển,คลาสสิค,ရှေးရိုး,古典的な,고전,clásico,klasik,4
2-2,8.        ,畫家,huàjiā,N,painter,họa sĩ,จิตรกร,ပန်းချီဆရာ,画家,화가,pintor,pelukis,4
2-2,9.        ,畫,huà,V/N,to paint; painting,vẽ tranh; bức tranh,ทาสี; จิตรกรรม,ဆေးသုတ်ရန်; ပန်းချီ,絵を描くこと。絵画,그림을 그리다; 그림,pintar; cuadro,melukis; lukisan,4
2-2,10.     ,舞蹈,wǔdào ,N,dance,múa,เต้นรำ,ကခုန်သည်။,ダンス,춤,bailar,menari,4
2-2,11.     ,文學,wénxué ,N,literature,văn học,วรรณกรรม,စာပေ,文学,문학,literatura,literatur,4
2-2,12.     ,繪畫,huìhuà ,N,"(act of) painting, drawing",hành động vẽ tranh,(การกระทำ) การวาดภาพการวาดภาพ,(၎) ပန်းချီ၊ ပုံဆွဲခြင်း။,絵を描く、描く（行為）,"(행위) 그림을 그리다, 그리다","(acto de) pintar, dibujar","(tindakan) melukis, menggambar",4
2-2,13.     ,等,děng ,Ptc,"etc., and so forth",vân vân,ฯลฯ เป็นต้น,စသည်တို့ဖြစ်သည်။,などなど,등등 등등,"etc., y así sucesivamente","dll, dan seterusnya",4
2-2,14.     ,寺廟,sìmiào ,N,temple,ngôi đền,วัด (wat) / ศาลเจ้า (san chao),ဘုရား (phaya:) / စေတီ (zay dee) / နတ်ကွန်း (nut kun),寺院 (jīn) / 廟 (byō),사원 (sawon) / 묘 (myo),templo,kuil,4
2-2,15.     ,表現,biǎoxiàn ,V/N,"to manifest, express; manifestation, expression","thể hiện, biểu lộ; sự thể hiện",แสดงออก; การสำแดงการแสดงออก,ထင်ရှားစေရန်၊ ထင်ရှားခြင်း၊ ထုတ်ဖော်ခြင်း။,明らかにする、表現する。現れ、表現,"표현하다, 표현하다; 발현, 표현","manifestar, expresar; manifestación, expresión","mewujudkan, mengekspresikan; manifestasi, ekspresi",4
2-2,16.     ,之,zhī ,Ptc,"of (from classical Chinese, roughly equivalent to the modern Chinese 的)","của (từ Hán văn, tương đương với 的)",ของ (จากภาษาจีนคลาสสิก โดยประมาณเทียบเท่ากับภาษาจีนสมัยใหม่ 的),၏ (ဂန္တဝင်တရုတ်မှ၊ အကြမ်းဖျင်းအားဖြင့် ခေတ်သစ်တရုတ်စကားနှင့် ညီမျှသည်),の (古典中国語から、現代​​中国語にほぼ相当),"of (고전 중국어에서 유래, 현대 중국어 的와 거의 동일함)","de (del chino clásico, aproximadamente equivalente al chino moderno 的)","dari (dari bahasa Tiongkok klasik, kira-kira setara dengan bahasa Tiongkok modern 的)",4
2-2,17.     ,劇情,jùqíng ,N,"story, plot, storyline","câu chuyện, cốt truyện","เรื่องราว, โครงเรื่อง, โครงเรื่อง",ဇာတ်လမ်း၊ ဇာတ်လမ်း၊ ဇာတ်လမ်း,ストーリー、プロット、ストーリーライン,"이야기, 줄거리, 줄거리","historia, trama, trama","cerita, alur, alur cerita",4
2-2,18.     ,導演,dǎoyǎn ,N,director (movies),đạo diễn (phim),ผู้กำกับ (ภาพยนตร์),ဒါရိုက်တာ (ရုပ်ရှင်),監督（映画）,감독 (영화),director (películas),sutradara (film),4
2-2,19.     ,所,suǒ ,Ptc,a verbal marker (marking what comes after as a verb),một dấu hiệu động từ (đánh dấu những gì theo sau là động từ),เครื่องหมายทางวาจา (ทำเครื่องหมายสิ่งที่ตามมาเป็นคำกริยา),verbal marker (ကြိယာတစ်ခုအနေဖြင့် နောက်မှလာသောအရာကို အမှတ်အသားပြုခြင်း),動詞マーカー (後に来るものを動詞としてマークする),구두 표시(뒤에 오는 것을 동사로 표시),un marcador verbal (que marca lo que viene después como verbo),penanda verbal (menandai apa yang muncul setelahnya sebagai kata kerja),4
2-2,20.     ,紅,hóng ,Vs,popular (of an actress or singer) ,nổi tiếng (của diễn viên hoặc ca sĩ),เป็นที่นิยม (ของนักแสดงหรือนักร้อง),နာမည်ကြီး (မင်းသမီး သို့မဟုတ် အဆိုတော်)၊,（女優または歌手の）人気のある,인기 있는 (배우나 가수의),popular (de una actriz o cantante),populer (dari seorang aktris atau penyanyi),4
2-2,21.     ,明星,míngxīng,N,movie stars,ngôi sao điện ảnh,ดาราภาพยนตร์,ရုပ်ရှင်သရုပ်ဆောင်များ,映画スター,영화배우,estrellas de cine,bintang film,4
2-2,22.     ,演技,yǎnjì ,N,acting skills,kỹ năng diễn xuất,ทักษะการแสดง,သရုပ်ဆောင်စွမ်းရည်,演技力,연기력,habilidades de actuación,keterampilan akting,4
2-2,23.     ,得,dé ,Vpt,"to get, obtain, receive","nhận được, đạt được","เพื่อรับ, รับ, รับ",ရယူရန်၊ ရယူရန်၊ လက်ခံရန်,得る、得る、受け取る,"얻다, 획득하다, 받다","conseguir, obtener, recibir","mendapatkan, mendapatkan, menerima",4
2-2,24.     ,獎,jiǎng ,N,award,giải thưởng,รางวัล,ဆု,賞,상,otorgar,menghadiahkan,4
2-2,25.     ,廣場,guǎngchǎng ,N,plaza,quảng trường,พลาซ่า,ပလာဇာ,プラザ,큰 광장,plaza,alun-alun,4
2-2,26.     ,或,huò ,Conj,or,hoặc là,หรือ (rue),သို့မဟုတ် (thoe ma hoke),または (matawa),또는 (ttoneun),o,atau,4
2-2,27.     ,仔細,zǐxì ,Adv,"carefully, attentively","cẩn thận, chú ý",อย่างระมัดระวังอย่างตั้งใจ,"ဂရုတစိုက်, ဂရုတစိုက်",注意深く、注意深く,"조심스럽게, 주의 깊게","cuidadosamente, atentamente","hati-hati, penuh perhatian",4
2-2,28.     ,留意,liúyì ,Vst,"to pay attention to, take note of","chú ý đến, lưu ý",ให้ความสนใจจดบันทึก,သတိပြုရန်၊ သတိပြုပါ။,注意する、注意する,"주의를 기울이다, 주목하다","prestar atención, tomar nota de","memperhatikan, mencatat",4
2-2,29.     ,處處,chùchù ,Adv,everywhere,khắp nơi,ทุกที่ (thuk thi) / ทั่วไป (thua pai),နေရာတိုင်း (nayar tine:),至る所 (itaru tokoro) / あちこち (achikochi),어디나 (eodina) / 도처에 (docheoe),en todos lados,di mana pun,4
2-2,30.     ,滿足,mǎnzú ,Vst,to satisfy,thỏa mãn,เพื่อตอบสนอง,ကျေနပ်ရန်,満足させる,만족시키다,satisfacer,memuaskan,4
2-2,31.     ,豐盛,fēngshèng ,Vs,"sumptuous, abundant","thịnh soạn, phong phú","หรูหรา, อุดมสมบูรณ์","sumptuous, ပေါများ",贅沢な、豊富な,"호화로운, 풍부한","suntuoso, abundante","mewah, berlimpah",4
2-2,32.     ,國家戲劇院,Guójiā Xìjùyuàn ,,National Theater ,Nhà hát Quốc gia,โรงละครแห่งชาติ,အမျိုးသားကဇာတ်ရုံ,国立劇場,국립극장,Teatro nacional,Teater Nasional,4
2-2,33.     ,雲門舞集,Yúnmén Wǔjí ,,Cloud Gate Dance Theatre,Vũ đoàn Múa Cổng Mây,โรงละครเต้นรำคลาวด์เกต,Cloud Gate Dance ပြဇာတ်ရုံ,クラウド ゲート ダンス シアター,클라우드 게이트 댄스 극장,Teatro de danza Cloud Gate,Teater Tari Cloud Gate,4
2-2,34.     ,國家音樂廳,Guójiā Yīnyuètīng ,,National Concert Hall,Nhà hát Hòa nhạc Quốc gia,หอแสดงคอนเสิร์ตแห่งชาติ,အမျိုးသားကပွဲခန်းမ,国立音楽堂,국립콘서트홀,Sala Nacional de Conciertos,Gedung Konser Nasional,4
2-2,35.     ,金馬影展,Jīnmǎ Yǐngzhǎn ,,Golden Horse Film Festival,Lễ hội Phim Kim Mã,เทศกาลภาพยนตร์ม้าทองคำ,ရွှေမြင်းရုပ်ရှင်ပွဲတော်,金馬映画祭,금마장영화제,Festival de Cine del Caballo Dorado,Festival Film Kuda Emas,4
2-2,36.     ,現代舞,xiàndài wǔ ,,modern dance,múa hiện đại,การเต้นรำสมัยใหม่,ခေတ်မီအက,モダンダンス,현대 무용,danza moderna,tari modern,4
2-2,37.     ,無人不知無人不曉,wúrén bùzhī wúrén bùxiǎo,,known to all,ai cũng biết,รู้จักทุกคน,အားလုံးသိကြပါတယ်။,誰もが知っている,모두에게 알려진,conocido por todos,diketahui semua orang,4
2-2,38.     ,百聞不如一見,bǎiwén bùrú yíjiàn ,,seeing it once is better than hearing about it a hundred times,trăm nghe không bằng một thấy,เห็นครั้งเดียวก็ดีกว่าได้ยินเรื่องนั้นร้อยครั้ง,တစ်ကြိမ်မြင်ခြင်းသည် အကြိမ်တစ်ရာကြားသိခြင်းထက် သာ၍ကောင်း၏။,それについて百回聞くよりも、一度見た方が良い,백 번 듣는 것보다 한 번 보는 것이 낫다,Verlo una vez es mejor que escucharlo cien veces,melihatnya sekali lebih baik daripada mendengarnya seratus kali,4
2-2,39.     ,老街,lǎojiē ,,old street,phố cổ,ถนนเก่า,လမ်းဟောင်း,古い通り,오래된 거리,calle vieja,jalan tua,4
2-2,40.     ,街頭藝術,jiētóu yìshù ,,street art,nghệ thuật đường phố,ศิลปะบนท้องถนน,လမ်းဘေးအနုပညာ,ストリートアート,거리 예술,arte callejero,seni jalanan,4
2-2,41.     ,裝置藝術,zhuāngzhì yìshù ,,installation art,nghệ thuật sắp đặt,ศิลปะการติดตั้ง,တပ်ဆင်ခြင်းအနုပညာ,インスタレーションアート,설치 미술,arte de instalación,seni instalasi,4
2-2,42.     ,填飽,tiánbǎo ,,to fill one’s belly,lấp đầy bụng đói,เพื่ออิ่มท้อง,ဗိုက်ပြည့်ဖို့,お腹を満たすために,배를 채우려고,llenar la barriga,mengisi perut seseorang,4
2-2,43.     ,口腹之慾,kǒufù zhīyù ,,the desire of one’s palate,thỏa mãn vị giác,ความปรารถนาในเพดานปากของตน,အာခေါင်၏ဆန္ဒ,味覚の欲求,입맛의 욕구,el deseo del paladar,keinginan selera seseorang,4
3-1,1.        ,李文麗,Lǐ Wénlì,,"Li Wenli, female","Lý Văn Lệ, nữ",หลี่ เหวินหลี หญิง,Li Wenli၊ အမျိုးသမီး,リー・ウェンリー、女性,리웬리(여),"Li Wenli, mujer","Li Wenli, perempuan",4
3-1,2.        ,外婆,wàipó,N,grandma,bà ngoại/bà nội,ยาย,အဖွား,おばあちゃん,할머니,abuela,nenek,4
3-1,3.        ,女裝,nǚzhuāng,N,women’s apparel,quần áo phụ nữ,เครื่องแต่งกายของผู้หญิง,အမျိုးသမီးအဝတ်အစား,婦人服,여성복,ropa de mujer,pakaian wanita,4
3-1,4.        ,何必,hébì,Adv,"Why bother…, Why must?",Tại sao phải...?,ทำไมต้องกังวล…ทำไมต้อง?,ဘာလို့ စိတ်ရှုပ်ရမှာလဲ...၊,なぜわざわざ…、なぜそうしなければならないのでしょうか？,"왜 귀찮게…, 왜 해야 합니까?",¿Por qué molestarse…? ¿Por qué hacerlo?,"Kenapa repot…, Kenapa harus?",4
3-1,5.        ,指,zhǐ,Vst,"to mean, to indicate","có nghĩa là, chỉ",หมายถึงเพื่อระบุ,ဆိုလိုရင်း၊ ထောက်ပြရန်,意味する、示す,"의미하다, 나타내다","querer decir, indicar","berarti, menunjukkan",4
3-1,6.        ,划算,huásuàn,Vs,"cost effective, a good deal","hiệu quả chi phí, hời",คุ้มค่าคุ้มราคา,စျေးသက်သာတယ်၊ စျေးသက်သာတယ်။,費用対効果が高く、お買い得,"비용 효율적, 좋은 거래","rentable, una buena oferta","hemat biaya, bagus",4
